Feasibility selection for M+S3 with selection size 0.05
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9822779593869614,1051,572
spar020-100-2,20,100,0.8911416641280179,1070,636
spar020-100-3,20,100,0.9844857424789766,1086,702
spar030-060-1,30,60,0.827194674509075,756,703
spar030-060-2,30,60,0.9998523865989071,668,363
spar030-060-3,30,60,0.8589879592126106,1197,885
spar030-070-1,30,70,0.7937019579201519,1200,960
spar030-070-2,30,70,0.9631854658956029,1174,812
spar030-070-3,30,70,0.9149543319560157,1470,803
spar030-080-1,30,80,0.8137117884680346,2003,1500
spar030-080-2,30,80,0.9962672880191398,1780,1068
spar030-080-3,30,80,0.9987471576658452,2083,1248
spar030-090-1,30,90,0.8955561600180243,2551,1651
spar030-090-2,30,90,0.8787062343140417,2956,1764
spar030-090-3,30,90,0.9309355689035955,2643,1716
spar030-100-1,30,100,0.8379234040994414,3838,2101
spar030-100-2,30,100,0.8097570549246876,3923,2156
spar030-100-3,30,100,0.8676131322114391,3865,2123
spar040-030-1,40,30,0.9992764810711853,243,192
spar040-030-2,40,30,0.9642671873072634,281,210
spar040-030-3,40,30,0.9573535103274482,234,198
spar040-040-1,40,40,0.7964800251971862,567,560
spar040-040-2,40,40,0.9569089435348944,613,540
spar040-040-3,40,40,0.8125027906014947,621,620
spar040-050-1,40,50,0.8272080655845264,1114,990
spar040-050-2,40,50,0.8581289645490053,1217,1020
spar040-050-3,40,50,0.8672417002588834,1266,1071
spar040-060-1,40,60,0.8026431577285001,1861,1395
spar040-060-2,40,60,0.916298976303698,1619,1120
spar040-060-3,40,60,0.962956299992829,2381,1666
spar040-070-1,40,70,0.8704025109080358,2995,1937
spar040-070-2,40,70,0.8722399802567292,2889,2016
spar040-070-3,40,70,0.8776711457593616,3347,2171
spar040-080-1,40,80,0.8396065441597248,4742,2844
spar040-080-2,40,80,0.846744577426982,4520,2938
spar040-080-3,40,80,0.8637226876019117,5418,3240
spar040-090-1,40,90,0.8230014042180401,6491,3564
spar040-090-2,40,90,0.8151333234719685,7002,3850
spar040-090-3,40,90,0.8637435654912711,6906,3795
spar040-100-1,40,100,0.8359951171832815,9395,4690
spar040-100-2,40,100,0.7898265482614995,9579,4780
spar040-100-3,40,100,0.7250505220784416,9251,4620
spar050-030-1,50,30,0.9705106206086689,467,460
spar050-030-2,50,30,0.8021529732861897,514,500
spar050-030-3,50,30,0.822516641734446,479,460
spar050-040-1,50,40,0.8567925610327054,1078,1060
spar050-040-2,50,40,0.8478635941473852,1310,1300
spar050-040-3,50,40,0.9079135812450456,1186,1180
spar050-050-1,50,50,0.7373788235031382,2400,2160
spar050-050-2,50,50,0.8060270367567564,2323,1740
spar050-050-3,50,50,0.8213659759728645,2548,2032
spar060-020-1,60,20,0.8235959392777613,275,260
spar060-020-2,60,20,0.9969648415486542,322,304
spar060-020-3,60,20,0.7547386109996149,330,320
spar070-025-1,70,25,0.7931175779216765,787,780
spar070-025-2,70,25,0.7265721046044753,736,720
spar070-025-3,70,25,0.8118991027341973,915,900
spar070-050-1,70,50,0.7859564266517624,6608,4620
spar070-050-2,70,50,0.8180707151233728,5287,3960
spar070-050-3,70,50,0.8677320540705596,6058,4228
spar070-075-1,70,75,0.7440137916093003,22200,11100
spar070-075-2,70,75,0.7224292175838714,21114,10550
spar070-075-3,70,75,0.731475025337878,21320,10660
spar080-025-1,80,25,0.8185486110718164,1217,1200
spar080-025-2,80,25,0.7033007242663749,1062,1060
spar080-025-3,80,25,0.7912396601997548,1319,1300
spar080-050-1,80,50,0.7295538326469263,10258,6656
spar080-050-2,80,50,0.8057843438429265,8680,5642
spar080-050-3,80,50,0.7848868211124514,8863,5759
spar080-075-1,80,75,0.727168518716773,33045,16520
spar080-075-2,80,75,0.7321149675238247,31783,15890
spar080-075-3,80,75,0.7312538082672303,32786,14751
spar090-025-1,90,25,0.7496822741582703,1839,1820
spar090-025-2,90,25,0.7631503765727273,1737,1720
spar090-025-3,90,25,0.78624540790657,1872,1860
spar090-050-1,90,50,0.7538423418906078,14205,8520
spar090-050-2,90,50,0.791310955089874,12738,8268
spar090-050-3,90,50,0.7877437061666722,12780,8307
spar090-075-1,90,75,0.6858575241940298,47607,21420
spar090-075-2,90,75,0.6870538225774275,46098,20736
spar090-075-3,90,75,0.6967443426929957,46718,23350
spar100-025-1,100,25,0.7360994699768917,2306,2300
spar100-025-2,100,25,0.7450842412548395,2332,2320
spar100-025-3,100,25,0.7740613527007681,2468,2460
spar100-050-1,100,50,0.7147967967755618,20119,12060
spar100-050-2,100,50,0.7343946325207752,18045,11726
spar100-050-3,100,50,0.7397544802285951,18378,11016
spar100-075-1,100,75,0.681758146523769,64945,32470
spar100-075-2,100,75,0.6857152564704901,63004,28350
spar100-075-3,100,75,0.6890046302481461,64757,32370
spar125-025-1,125,25,0.7118811857737309,5219,5200
spar125-025-2,125,25,0.7506560274298236,5356,5340
spar125-025-3,125,25,0.7651308033049329,5212,4940
spar125-050-1,125,50,0.7067492930418505,39432,21681
spar125-050-2,125,50,0.7032935506843156,40048,22022
spar125-050-3,125,50,0.7072854571593803,40525,22286
spar125-075-1,125,75,0.671105102228753,133242,50000
spar125-075-2,125,75,0.6536168869373682,132145,55000
spar125-075-3,125,75,0.6613660813522138,129267,55000
