Feasibility selection for M+S^E_5 with selection size 0.1 and up to 40 cut rounds 
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.9997722967701727,11701,5850
spar020-100-2,20,100,0.9939955010583538,12558,6907
spar020-100-3,20,100,0.9999999791549411,13104,3930
spar030-060-1,30,60,0.9381436219707711,488,1104
spar030-060-2,30,60,0.9999775873611146,357,245
spar030-060-3,30,60,0.9701720611699509,2683,2948
spar030-070-1,30,70,0.9417379189776576,2452,3857
spar030-070-2,30,70,0.9999401110863126,2267,1582
spar030-070-3,30,70,0.9942029082596786,4144,3312
spar030-080-1,30,80,0.9708828977419236,14077,10608
spar030-080-2,30,80,0.9999999117962086,9083,3632
spar030-080-3,30,80,0.9999996343452785,14669,4398
spar030-090-1,30,90,0.999998283624272,29797,17874
spar030-090-2,30,90,0.999981622743515,50030,25000
spar030-090-3,30,90,0.9999998900051777,33858,13540
spar030-100-1,30,100,0.9987543311514069,117664,31306
spar030-100-2,30,100,0.9913413984664567,127328,31087
spar030-100-3,30,100,0.9955697356188745,120440,30836
spar040-030-1,40,30,0.9996615852897873,142,154
spar040-030-2,40,30,0.9729592877717123,152,195
spar040-030-3,40,30,0.9717473328898939,165,240
spar040-040-1,40,40,0.8558986370961631,247,720
spar040-040-2,40,40,0.9977862082167062,245,456
spar040-040-3,40,40,0.8903532441745791,263,806
spar040-050-1,40,50,0.9238367713597989,589,1276
spar040-050-2,40,50,0.9492455268345975,656,1235
spar040-050-3,40,50,0.96301593545805,670,1474
spar040-060-1,40,60,0.9346210092651925,2085,3536
spar040-060-2,40,60,0.9891690868625133,1549,2002
spar040-060-3,40,60,0.9999967651566759,5300,3180
spar040-070-1,40,70,0.9951884428318215,11565,9469
spar040-070-2,40,70,0.9978535593338101,10885,9172
spar040-070-3,40,70,0.9932719449011647,17437,11954
spar040-080-1,40,80,0.9965212118877914,56790,32183
spar040-080-2,40,80,0.9988156718838591,48850,27860
spar040-080-3,40,80,0.9936935955407995,86525,30927
spar040-090-1,40,90,0.9939897839046316,157594,33480
spar040-090-2,40,90,0.9906564281449394,204730,34082
spar040-090-3,40,90,0.999822656198785,200103,30000
spar040-100-1,40,100,0.9978967116743442,556457,40000
spar040-100-2,40,100,0.9894360934498356,593366,38524
spar040-100-3,40,100,0.9693682032564553,529202,37984
spar050-030-1,50,30,0.994491289301172,258,475
spar050-030-2,50,30,0.8448711885733649,275,567
spar050-030-3,50,30,0.8845278475915815,245,648
spar050-040-1,50,40,0.9250218309326235,452,1170
spar050-040-2,50,40,0.9222964822466344,574,1425
spar050-040-3,50,40,0.9783251932684517,502,1200
spar050-050-1,50,50,0.86846489475181,1836,4941
spar050-050-2,50,50,0.9337130354185608,1911,4011
spar050-050-3,50,50,0.9430700194371152,2394,4302
spar060-020-1,60,20,0.8459838179833633,224,462
spar060-020-2,60,20,0.9997426347352958,233,299
spar060-020-3,60,20,0.7884637375261134,227,550
spar070-025-1,70,25,0.8259281052542965,465,1196
spar070-025-2,70,25,0.7683788657378219,433,1118
spar070-025-3,70,25,0.8456649738726996,510,1173
spar070-050-1,70,50,0.934665776008736,10777,13699
spar070-050-2,70,50,0.943151868000204,5439,8688
spar070-050-3,70,50,0.993068197005516,8225,9864
spar070-075-1,70,75,0.9742718894575423,612406,53760
spar070-075-2,70,75,0.955447405291428,495184,50080
spar070-075-3,70,75,0.9591561172762234,529786,49830
spar080-025-1,80,25,0.8573389672612198,680,1632
spar080-025-2,80,25,0.7432745050072379,639,1701
spar080-025-3,80,25,0.8399540930506486,692,1725
spar080-050-1,80,50,0.9068256502205556,24270,26475
spar080-050-2,80,50,0.9582108790370353,15287,17814
spar080-050-3,80,50,0.938573436682173,15395,17775
spar080-075-1,80,75,0.966207998834144,1137158,58083
spar080-075-2,80,75,0.9651507022801745,996803,56110
spar080-075-3,80,75,0.9614349689238049,1127699,57331
spar090-025-1,90,25,0.8027519084987172,923,2392
spar090-025-2,90,25,0.8150296907009613,865,2322
spar090-025-3,90,25,0.8391690827303205,966,2304
spar090-050-1,90,50,0.9320293639946259,37301,35539
spar090-050-2,90,50,0.9599139703242577,26509,27246
spar090-050-3,90,50,0.9449015886729892,27198,26728
spar090-075-1,90,75,0.9456779721059013,2131760,68194
spar090-075-2,90,75,0.9467179425915769,1966764,68099
spar090-075-3,90,75,0.9538811425506762,2048918,68205
spar100-025-1,100,25,0.7982928830093388,1207,3240
spar100-025-2,100,25,0.7992150277144704,1259,3375
spar100-025-3,100,25,0.8340365231094445,1260,3276
spar100-050-1,100,50,0.9133830388617398,72777,48645
spar100-050-2,100,50,0.9140099553980175,48290,42731
spar100-050-3,100,50,0.9302463878686522,52951,44436
spar100-075-1,100,75,0.0,3596761,0
spar100-075-2,100,75,0.0,3281860,0
spar100-075-3,100,75,0.0,3510062,0
spar125-025-1,125,25,0.7782655821636062,2486,6944
spar125-025-2,125,25,0.826014542675676,2664,6916
spar125-025-3,125,25,0.8350072399152135,2470,5928
spar125-050-1,125,50,0.9156377686359644,228285,66929
spar125-050-2,125,50,0.9219123686086654,229528,63790
spar125-050-3,125,50,0.9288182387838082,249143,67060
spar125-075-1,125,75,0.0,12845805,0
spar125-075-2,125,75,0.0,12739984,0
spar125-075-3,125,75,0.0,11660122,0
